Date,Education,Energy,Food,Housing,Medical,Transportation
2025-07-01,146.696,283.395,340.036,348.21,583.856,273.452
2025-08-01,147.152,283.247,341.295,349.277,583.875,273.91
2025-09-01,147.501,283.589,342.405,349.773,584.858,274.301
2025-10-01,,,,,,
2025-11-01,147.928,279.588,341.721,349.973,585.213,272.615
2025-12-01,146.392,274.131,343.795,351.072,587.144,268.63
2026-01-01,146.883,272.668,345.165,352.54,590.169,267.521
2026-02-01,146.533,277.179,346.564,353.737,592.593,269.607
2026-03-01,146.668,310.28,346.796,355.096,592.286,283.431
2026-04-01,146.588,329.907,348.499,357.345,591.661,291.752
2026-05-01,147.628,346.042,349.032,358.388,593.239,298.409
